name	length	score	pvalue
S2C30453	3634	0.990813114685046	0.00206160562697065
S2C30482	2071	0.395837731268052	0.210706740542911
S2C30637	2674	0.0667763847074756	0.628333399768805
S2C30679	2352	0.942448486106154	0.00725475345796628
S2C30736	3124	0.0290582235829568	0.54996361872423
S2C30852	2092	0.346042809745115	0.243313269821023
S2C30949	4012	0.960206559421707	0.00642735871937909
S2C31182	2574	0.242417298046591	0.333838242914657
S2C31318	2844	0.916584000749331	0.0131542233029059
S2C31387	2114	0.989869614225959	0.000637780523777255
S2C31607	2800	0.561204270351549	0.128154023996492
S2C31710	3003	0.951380376125159	0.00703371331554693
S2C31805	2244	0.575246350673178	0.122413999282497
S2C31807	2200	0.122302936486869	0.497628253677203
S2C32005	3436	0.699877771112443	0.0460829493087558
S2C32054	4218	0.36682120832663	0.131700218287655
S2C32333	3725	0.732012119435372	0.0398981324278438
S2C32437	5041	0.992632447517772	0.00194033470773708
S2C32510	2267	0.474089988611295	0.167656555187946
S2C32557	2658	0.0719286320933879	0.612548331805318
S2C32560	2060	0.0623168702684293	0.643201658229362
S2C32754	3571	0.987453397557728	0.00278923114237206
S2C32832	11718	0.73109615731503	0.0403832161047781
S2C33177	2100	0.358229219638082	0.234942400446446
S2C33389	2642	0.174109756816814	0.415713317654562
S2C33566	4832	0.614879189484135	0.0639097744360902
S2C33602	4029	0.0754351521133024	0.384792626728111
S2C33703	4883	0.742736883986581	0.037593984962406
S2C33716	2355	0.844979504471697	0.0314106907960298
S2C33874	3354	0.845462274360682	0.0220713073005093
S2C34098	3161	0.271503938270555	0.178025709434878
S2C34426	17212	0.981403621469939	0.0033955857385399
S2C34439	3684	0.894003052739106	0.0140674266310939
S2C34993	2035	0.70004600289212	0.074181847171842
S2C35095	2240	0.819526717117358	0.038107386295691
S2C35172	2896	0.71081119681813	0.0714314186630526
S2C35358	2097	0.409777431905135	0.20217642603739
S2C35846	2076	0.810674042251387	0.0408179535217443
S2C35873	2006	0.0878342196632623	0.570414955953283
S2C35891	2805	0.819702381569856	0.0380675250129549
S2C36378	2682	0.11805025274804	0.505162036114322
S2C36486	2208	0.353785214301993	0.237493522541555
S2C36518	2238	0.839688883248695	0.0329254195400008
S2C36618	2543	0.866281225250061	0.025391637102882
S2C36732	27574	0.980454770491298	0.00363812757700703
S2C36785	8240	0.605890491747347	0.0657288382245937
S2C36835	2798	0.365311788867179	0.230039462669909
S2C36873	4617	0.974974482694911	0.0041232112539413
S2C36895	2501	0.908059636832633	0.0148682584605573
S2C37129	2425	0.968977601732522	0.00267070594331726
S2C37255	7716	0.986197373400011	0.00278923114237206
S2C37397	2062	0.147097408543222	0.45537529397696
S2C37426	3162	0.10800993742318	0.322095561484356
S2C37606	6024	0.0693365870554519	0.396677176813
S2C37722	4313	0.926487531769515	0.0101867572156197
S2C37895	2670	0.0274554483752138	0.788854785346992
S2C38056	2066	0.416393617128279	0.198588910591143
S2C38087	2063	0.131632691219428	0.480089289273329
S2C38140	2433	0.95946213985825	0.00434487981823255
S2C38239	3043	0.975562245044307	0.00400194033470774
S2C38401	2334	0.0675947868429961	0.626021445370112
S2C38445	3356	0.940796135737391	0.00848896434634975
S2C38571	4761	0.931844994105784	0.00945913170021829
S2C38590	16168	0.711767605879765	0.0439000727625515
S2C38649	7930	0.996331419853963	0.000970167353868542
S2C38659	2646	0.36667483280046	0.228963208036035
S2C38678	3397	0.890755017675495	0.0147950521464953
S2C38822	97384	0.996468538601178	0.000970167353868542
S2C38860	2527	0.140501799339053	0.465181169530035
S2C38866	2084	0.406180546895072	0.204368796587874
S2C38920	6928	0.977174811603662	0.0037593984962406
S2C39065	2401	0.565190691496436	0.126439988838841
S2C39317	2303	0.109734038997237	0.520468768684976
